City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,atafu village,-8.5421,-172.5159,28.49,77,84,4.8,TK,1696978558
123,usinsk,65.9939,57.5281,2.26,76,100,10.73,RU,1696978558
124,badger,64.8,-147.5333,-1.07,85,100,3.6,US,1696978558
125,quellon,-43.1167,-73.6167,7.24,64,37,5.84,CL,1696978559
126,vilyuysk,63.7553,121.6247,6.77,91,100,4.47,RU,1696978559
127,maridi,4.9158,29.4742,19.98,98,100,1.99,SS,1696978559
128,hamilton,39.1834,-84.5333,16.91,41,0,3.13,US,1696978034
129,egilsstadir,65.2653,-14.3948,3.95,81,100,8.23,IS,1696978559
130,berezovyy,51.6667,135.7,5.43,64,16,1.52,RU,1696978560
131,bethel,41.3712,-73.414,16.05,75,0,2.57,US,1696978560
132,acapulco de juarez,16.8634,-99.8901,25.9,89,100,2.57,MX,1696978288
133,kenai,60.5544,-151.2583,6.72,66,100,3.09,US,1696978560
134,genhe,50.7833,121.5167,4.56,70,6,0.24,CN,1696978560
135,bilibino,68.0546,166.4372,-13.32,93,86,1.33,RU,1696978561
136,zalingei,12.9096,23.4741,25.16,62,98,2.4,SD,1696978561
137,fulton,33.7668,-84.4499,25.24,55,75,6.69,US,1696978539
138,naze,28.3667,129.4833,23.51,72,98,5.04,JP,1696978561
139,taungoo,18.9333,96.4333,23.35,98,100,0.58,MM,1696978561
140,baardheere,2.3446,42.2764,26.08,63,61,6.45,SO,1696978562
141,bonthe,7.5264,-12.505,25.66,88,98,2.46,SL,1696978562
142,ar rutbah,33.0381,40.2848,20.43,58,4,1.99,IQ,1696978562
143,kerimaki,61.9167,29.2833,4.97,100,75,3.6,FI,1696978562
144,tippi,7.2,35.45,18.31,85,62,1.53,ET,1696978562
145,treasure island,27.7692,-82.769,28.39,67,0,4.12,US,1696978563
146,greymouth,-42.4667,171.2,10.73,74,70,5.83,NZ,1696978563
147,hermanus,-34.4187,19.2345,14.5,88,7,4.79,ZA,1696978457
148,newman,37.3138,-121.0208,26.7,53,8,2.68,US,1696978563
149,polyarnyy,69.1989,33.4478,-0.74,84,11,2.74,RU,1696978563
150,al hayy,32.1735,46.0433,31.22,21,68,1.97,IQ,1696978564
151,hanzhong,33.0728,107.0303,14.97,88,94,1.04,CN,1696978564
152,chui,-33.6971,-53.4616,15.76,91,48,4.89,UY,1696978564
153,saipan,15.1355,145.701,27.39,94,100,11.32,MP,1696978564
154,reggane,26.7158,0.1714,28.35,18,100,7.05,DZ,1696978564
155,tosontsengel,48.7567,98.2839,0.51,92,7,1.1,MN,1696978565
156,minas de marcona,-15.2119,-75.1103,15.24,78,61,6.25,PE,1696978565
157,belmonte,-15.8631,-38.8828,23.87,86,30,3.82,BR,1696978565
158,madimba,-10.4,40.3333,23.68,84,28,3.23,TZ,1696978565
159,novyy urengoy,66.0833,76.6333,3.1,96,100,8.99,RU,1696978565
160,ash shatrah,31.4117,46.1742,31.34,19,20,2.9,IQ,1696978566
161,tommot,58.9564,126.2925,7.81,83,100,4.89,RU,1696978446
162,pryor creek,36.3084,-95.3169,27.77,58,2,0.45,US,1696978566
163,zastron,-30.3023,27.084,16.93,20,100,2.02,ZA,1696978566
164,luanda,-8.8368,13.2343,25.0,83,40,2.57,AO,1696978567
165,pierre,44.3683,-100.351,18.81,45,0,6.69,US,1696978567
166,hithadhoo,-0.6,73.0833,27.3,75,97,7.54,MV,1696978567
167,campo gallo,-26.5833,-62.85,31.89,34,1,2.28,AR,1696978567
168,yerofey pavlovich,53.9667,121.9667,4.11,72,20,1.03,RU,1696978567
169,santa cruz,-17.8,-63.1667,32.03,45,15,8.23,BO,1696978309
170,wanning,18.8003,110.3967,24.37,96,98,1.93,CN,1696978568
171,amalapuram,16.5833,82.0167,24.27,89,0,1.0,IN,1696978568
172,westport,41.1415,-73.3579,17.12,74,99,3.58,US,1696978396
173,san antonio de pale,-1.4014,5.6325,25.65,84,96,5.67,GQ,1696978568
174,afaahiti,-17.75,-149.2833,28.93,85,81,4.1,PF,1696978569
175,lae,-6.7221,146.9847,25.37,76,74,1.25,PG,1696978569
176,bodden town,19.2833,-81.25,28.32,86,75,2.24,KY,1696978569
177,birao,10.2849,22.7882,20.91,88,90,2.31,CF,1696978569
178,la passe,45.5549,-0.8967,17.21,72,0,0.54,FR,1696978569
179,kapa'a,22.0752,-159.319,28.99,74,40,4.12,US,1696978570
180,holualoa,19.6228,-155.9522,27.1,72,20,5.14,US,1696978570
181,ad darb,17.7229,42.2526,29.44,77,2,0.75,SA,1696978570
182,seguela,7.9611,-6.6731,22.86,92,97,0.94,CI,1696978571
183,pader palwo,2.8006,33.135,20.3,90,94,0.12,UG,1696978571
184,stanley,54.868,-1.6985,17.09,84,40,5.66,GB,1696978571
185,laguna,38.421,-121.4238,23.41,49,75,6.17,US,1696978571
